Channel Title,Channel ID,Description,Published At
Amr Sherif,UC3gVtE-5etYKM-cdzBY225A,"هدف القناة نقل الوعي عن كل ما يخص الأكل و الشرب
عبر المراجعات آو المقارنات بين ماركات المعروفة وغير المعروفة و احيانا طبخ بعض الوصفات في المطبخ
أغلب متابعي القناة من عمر ١٨ - ٣٤ 
سجلت القناة إلى الآن أكثر من 18 مليون ساعة مشاهدة
ل الدعاية و الإعلان :
work@amrsherif.net",2021-09-17T22:37:17.009687Z
M12 ALFOUZAN - قدم الكرة,UCqe2V_eejw-b5SeOw63TQNw,"نحن هنا لاسعادكم فقط 
أنتم رأس المال 🤍

Brand Ambassador of @nissankwt 

Business Inquiries :
What’s app :0096560476666
Email : musaed@alfouzangroup.com",2022-10-17T22:37:25.504235Z
mon3esh - منعش,UCIAq0IiggJEtXIqQlCIJX_A,مكسل افكر في وصف للقناة دلوقتي ، ان شاء الله بكرة اظبط دسكربشن جامد,2023-01-17T16:21:46.149621Z
مع كامل احترامي,UChI83_qjim4GOPu49qN3ULg,,2023-10-28T01:16:06.853924Z
Kiko Elassiouty - الوحش الأكيل,UCkCPVi55JjzamwJbZJ847cQ,"انا كيكو الأسيوطي ""الوحش الأكيل"" هدف القناة انكوا متدبسوش في اي أكل او مطاعم في مصر",2022-08-09T05:48:53.952003Z
Marwan Serry - مروان سري,UCzejIGtATKRpOj3zFDRBLug,"بقدم هلس هادف

اشتري كازينو الالعاب و الميرش من هنا 
https://arcadeeg.com/collections/frontpage

للاعلان و التواصل ارسل رسالة علي الايميل ده
Info@Arcadeeg.com
www.Arcadeeg.com

رقم السجل الضريبي 775 - 318 - 693",2023-04-18T05:13:45.072828Z
mo luca,UCSGjZlLgvoF7D1fpwVxhWUA,"ههههههه
Tiktok: mo_luca
Snapchat: mo_luca
Instagram: mo_luca",2023-07-04T23:54:22.593515Z
يحيى عزام,UC40wQE39COKAZV0eMrr0TEA,انا جي اهزر والعب كفايا علينا شقى,2019-07-08T05:17:42.354525Z
Amr El Hady,UCuWlQo5Ll2gQetQr7BdPV7A,"Tiktok food creator middle east 2022🏆🥉
Ceo of overrated vs underrated 
و قطمه من هنا علي قطمه من هنا و قيم بقي يا باشا 

Main channel : amr elhady
tiktok : amrelhady_
insatgram : amrelhady__",2022-02-19T22:38:39.779991Z
Mogzz,UCTlNScos3pvlTWnZW18F0Kg,"""Let's make them notice.""",2023-05-20T23:15:41.372582Z
Peace Cake,UC8J_3JJ-Sjv7kUocEiEZcnQ,"إحنا شركة بيس كيك.. صناع محتوى مهما كان بقى إعلانات.. برامج يوتيوب.. مزيكا.. سكيتشات..
بنحب نعمل شغل لذيذ وخفيف على القلب.
 ✌️🎂
tap.bio/@peacecake

رقم التسجيل الضريبي : ٦٦٦-٦٣٤-٥٠٣",2020-06-14T10:09:59.697062Z
Erza3 - ارزع,UC0j1bJUOS_utB8q618YJ5Bw,"لو جاي تتفرج عشان مستني تحليل او تكتيك احب اقولك انك في المكان الغلط لان احنا جايين نرزع

رقم السجل الضريبي 775 - 318 - 693

للاعلان و التواصل ارسل رسالة علي الايميل ده
Info@Arcadeeg.com
www.aracadeeg.com",2024-03-10T15:28:29.565217Z
Abyusif I أبيوسف,UC11DKpZ9mdjdb5fbdb7ulRw,إسمي الحقيقي مازن.,2018-07-17T02:34:27.253676Z
mo luca gaming,UCMGF2VsfTtE14emAfPKeHuQ,Gaming Channel for @mo_luca,2024-07-04T01:38:17.203779Z
Saba7o Korah - صباحو كورة,UCAIxr4DpLZH-Iih4mlbLjiA,"كل ما يتعلق بكرة القدم.. تحليل تكتيكي ..تحديات .. فلوجات.. فيفا .. وأكتر!!
#حلل_يا نصوحي 

تابعوني على تويتر...عمرو نصوحي 
Nsoo7y@

وعلى فيسبوك:
https://www.facebook.com/Saba7oKorah
https://www.facebook.com/AmrNsoo7y",2023-12-01T16:01:04.151745Z
Match Gamed,UC1MZS_5--i4Z3IIGRiFYRgw,"ماهو لما ألاقي نفسي بالعب بتاع ١٠ ساعات فيفا كل أسبوع يبقى قدامي حل من الإثنين، يا أبطل اللي باعمله .. يا أحلل اللي باعمله 😂
مرحباً بكم في قناة ""ماتش جامد""، حيث أحاول أن أحلل الساعات التي أمضيها لاعباً للفيفا أو مشاهداً لمباريات الكرة، على أمل إن تجدوها مسلية وممتعة 😀",2023-11-18T01:39:38.854505Z
Ali Quandil,UChxIU8qXrV_sBGWZJzqQ4GA,"After +500 shows, Who is “The Last Man Standing” for Stand up comedy in Egypt?",2020-07-30T02:33:48.40199Z
Captain Gomaa - كابتن جمعة,UCmV2tujoks-IlAQ_qQeYpYg,,2024-03-04T16:18:27.994193Z
جريمة اكل Garemt Akl,UCyg-dgPVDEmtDXYrbwlkqXg,٣ شباب جعانين في انصاص الليالي قرروا ينزلوا يعملوا جريمة,2021-01-15T04:35:13.184708Z
Ahmed's Zone,UCNi09wL1p8L5q_R7cS7Y_pw,"Ahmed ismail احمد إسماعيل
بقدملكم افكار جديده ومبسطه للطبخ
🥘 خليها بسيطه تطلع احلى
Ahmed's Zone
لو حابب الاكونت يكبر ادعمنا بلايك وشير",2024-07-24T05:34:25.133233Z
BingeCircle,UCboi9tFaUpreNfGMBoZ339A,It’s a different binge.,2022-03-19T16:11:16.451196Z
The Cherno,UCQ-W1KE9EYfdxhL6S4twUNw,"I'm making a game engine called Hazel! Here you'll find videos about that and C++/programming.

For professional inquiries, please send an email to business@thecherno.com",2024-08-01T01:49:31.172172Z
MrKordy Official,UCauz-phIdWIVI1qPniDrjTg,"Mr Kordy is an Egyptian hip hop artist, based in Cairo, Egypt. He created the CCG Family. Which is involved in many types of street hip hop art.

#Cairo
#CCG
#MRKORDY

Subscribe to Channel MrKordy Official :
https://www.youtube.com/channel/UCauz-phIdWIVI1qPniDrjTg?sub_confirmation=1

Powered by Takwene",2019-02-01T21:43:52.30172Z
Codezilla,UCveX_0uBOHVHbpV838OGXVA,"ان شاء الله تهدف قناة لتعليم البرمجة باللغة العربية، مقدمة اليكم من خبراء مجال التعليم و البرمجة، مجانا، و تناسب جميع الاعمار.

تهدف القناة لتمكين شباب الوطن العربي و اعلاء مستواهم التقني البرمجي و ادراجهم في مجال التكنولوجيا حتى يتمكنوا من مواكبة سرعة التطور التكنولوجي بالعالم و نصبح وطن عربي قوي.

تمكنك البرمجة من العمل من اي مكان و برواتب ممتازة نظرا لكثرة الطلب في سوق العمل و سرعة نموه.",2022-02-23T01:18:41.526522Z
ONTime Sports,UCo2TvjBHS1BtyIkeGGTMe6w,,2020-12-21T16:53:21.454157Z
HardReset.Info,UCBviUkaeHb3SQPdtIRTNtJQ,"Are you looking for a hard reset solution? 

Hard Reset is a fast and easy way to wipe all of you personal
data from your device and make it 100% clean. Get your phone
ready for the next owner.

You can find more instructions here: www.HardReset.info


¿Estás buscando una solución de restablecimiento completo? 

Hard Reset es una manera fácil y rápida de borrar todos 
sus datos personales de su teléfono. 
Prepara tu teléfono para el próximo propietario. 

Puede encontrar más instrucciones aquí: www.HardReset.info


क्या आप हार्ड रीसेट समाधान की तलाश कर रहे हैं?

हार्ड रीसेट आप सभी के व्यक्तिगत पोंछने का एक तेज़ और आसान तरीका है
आपके डिवाइस से डेटा और इसे 100% साफ करें। अपना फोन ले आओ
अगले मालिक के लिए तैयार

आप यहां अधिक निर्देश पा सकते हैं: www.HardReset.info


Вы ищете решение для полной перезагрузки?

Hard Reset - это быстрый и простой способ удалить все данные с Вашего устройства и сбросить все настройки. Приготовьте Ваш смартфон для следующего владельца.",2016-08-05T01:27:37Z
Omardizer | عمرديزر,UC1FYFqgdW_1LueJTmXn-8cg,"| مهندس + يوتيوبر | أحدث الأجهزة والتكنولوجيا وكل الإختراعات الجديدة
-----------------------------------------------------
For business and inquiries |  للاستفسارات والتعاون : omardahab@gmail.com

معداتي : https://www.amazon.com/shop/omardizer
-----------------------------------------------------
 omardizer | YouTuber + Engineer | All the new devices, gadgets and latest technology",2020-09-18T02:35:15.66991Z
Diet and Cheat دايت اند تشيت,UCXIyHxIUl_G4Mh8yhbRDlEg,"بنقدم محتوى مبتكر و خدمات رياضيه و طبيه شامله 🫱🏻‍🫲🏼
(خدمات انظمه غذائيه و تدريب اونلاين)
يلا نعمل حاجه قوية مع بعض 💪🏽
للتفاصيل ابعتلي واتس اب 
+201014417003
او ادخل موقعنا
Www.dietncheat.com",2024-07-03T00:28:37.292869Z
Ali El-Meshwady - علي المشوادي,UCy9ilwTu6eN_FOxSmfXcvng,تحليل التاريخ هو افضل وسيلة للتنبؤ بالمستقبل .,2024-08-29T12:34:42.613714Z
AJ+ كبريت,UC-4KnPMmZzwAzW7SbVATUZQ,"مرحباً بكم في +AJ  عربي.. معاً نتشارك القصص
+AJ عربي مساحة رقمية تهتم بعرض أحداث آنية ومواضيع من وحي الواقع العربي المعاصر بطريقة مختلفة، مميزة ومؤثرة ضمن قالب صحافي مبتكر يحفّز الحوار والتفاعل البنّاء في المجتمع",2019-01-23T11:14:19.977184Z
Dr Masry,UCAs4jL-kHp2xZUywKgh5llQ,هنا هتلاقي كل ما هو طبي جميل ، بحبك يا عم😂❤️,2021-10-09T00:34:33.100274Z
3li Boltx,UCFHyDOBjQqL-3HToE9Yw3RA,"Pro In Entertainment !

Subscribe For A Dopamine Spike ⚡️",2022-09-16T10:00:26.367467Z
Dr.Omar Sallah,UCJyM7Rz5m8eKdYQdnyEcs5A,,2020-12-17T15:29:54.146144Z
EL BALF - الاسطى عبده الـبلــف,UCyzSRvqm6AVuNtYOMNYEA0Q,"معاك الاسطى عبده البلف، اكتر واحد بيفهم كورة في الدنيا. 
التواضع سر نجاحي.
مواليد نجع المطايسة 06/09/1930 
السيرة الذاتية قريبا في الأسواق",2020-10-28T19:07:59.562137Z
Verdi Production House,UCXDwWTEaftGTuZ3FAX9O8Yg,,2017-12-09T19:27:44Z
Eng.Ahmed Essam,UCQD8uNiJMOJpchiot75v3MQ,..,2020-06-28T03:45:24.414437Z
ضحك ولعب من غير جد وحب,UCh6Vd2V_fKhmTYAfeHcOI2A,قناة الضحك والهزار والميمز,2019-07-09T03:27:28.378214Z
